dataset,source,augmentation_type,augmentation_rate,trial,local_homophily_group,num_nodes_in_group,retained_same_class_edges,retained_cross_class_edges,dropped_same_class_edges,dropped_cross_class_edges,same_class_edge_retention_rate,cross_class_edge_retention_rate,neighbor_label_distribution_js_divergence,neighbor_label_distribution_js_divergence_std,neighbor_label_distribution_l1_distance,local_homophily_change,positive_pair_cosine_similarity,positive_pair_rank,positive_pair_similarity_drop,low_reliability_positive_ratio,positive_nodes_evaluated,embedding_source,labels_posthoc_only
Cora,pyg,edge_drop,0.4,4,all,2708,2591,594,1684,409,0.60608187,0.59222333,0.089079556,0.17140486,0.23831316,0.0040539482,1,1.324,-0.9214875,0,2708,raw_feature_proxy,True
Cora,pyg,edge_drop,0.6,4,low_homophily,223,1727,404,2548,599,0.40397661,0.40279163,0.22396129,0.21679768,0.57198629,0.011889346,1,1.3018868,-0.92566425,0,223,raw_feature_proxy,True
Cora,pyg,edge_drop,0.6,4,medium_homophily,321,1727,404,2548,599,0.40397661,0.40279163,0.25969447,0.18338886,0.74696077,-0.023643802,1,1.3714286,-0.91967285,0,321,raw_feature_proxy,True
Cora,pyg,edge_drop,0.6,4,high_homophily,2164,1727,404,2548,599,0.40397661,0.40279163,0.15054753,0.21956302,0.33915569,0.00057280908,1,1.3189223,-0.92132627,0,2164,raw_feature_proxy,True
Cora,pyg,edge_drop,0.6,4,all,2708,1727,404,2548,599,0.40397661,0.40279163,0.16953107,0.21880651,0.40666923,-0.0016403393,1,1.324,-0.9214875,0,2708,raw_feature_proxy,True
Cora,pyg,edge_drop,0.8,4,low_homophily,223,790,192,3485,811,0.18479532,0.19142572,0.34768225,0.21031617,0.79641093,-0.022579304,1,1.3018868,-0.92566425,0,223,raw_feature_proxy,True
Cora,pyg,edge_drop,0.8,4,medium_homophily,321,790,192,3485,811,0.18479532,0.19142572,0.38607462,0.15130417,0.93901943,0.017701731,1,1.3714286,-0.91967285,0,321,raw_feature_proxy,True
Cora,pyg,edge_drop,0.8,4,high_homophily,2164,790,192,3485,811,0.18479532,0.19142572,0.28605047,0.23997064,0.59986426,0.0015036825,1,1.3189223,-0.92132627,0,2164,raw_feature_proxy,True
Cora,pyg,edge_drop,0.8,4,all,2708,790,192,3485,811,0.18479532,0.19142572,0.30298239,0.23148638,0.65625226,0.0015724063,1,1.324,-0.9214875,0,2708,raw_feature_proxy,True
Citeseer,pyg,edge_drop,0.1,0,low_homophily,656,3015,1079,333,125,0.90053763,0.8961794,0.043617861,0.13675526,0.10072651,0.0012914565,0.98018293,1.4795918,-0.92958884,0,656,raw_feature_proxy,True
Citeseer,pyg,edge_drop,0.1,0,medium_homophily,396,3015,1079,333,125,0.90053763,0.8961794,0.040756593,0.10341593,0.1516708,-0.0019439651,1,1.4771784,-0.94282985,0,396,raw_feature_proxy,True
Citeseer,pyg,edge_drop,0.1,0,high_homophily,2227,3015,1079,333,125,0.90053763,0.8961794,0.024117337,0.10270627,0.058879957,-0.00024888757,0.99910193,1.4595202,-0.93725667,0,2227,raw_feature_proxy,True
Citeseer,pyg,edge_drop,0.1,0,all,3327,3015,1079,333,125,0.90053763,0.8961794,0.029594902,0.11003531,0.077326086,-0.00016284766,0.99549143,1.464,-0.9365442,0,3327,raw_feature_proxy,True
Citeseer,pyg,edge_drop,0.2,0,low_homophily,656,2686,957,662,247,0.80227001,0.7948505,0.071113582,0.16297328,0.17070939,0.00055875539,0.98018293,1.4795918,-0.92958884,0,656,raw_feature_proxy,True
Citeseer,pyg,edge_drop,0.2,0,medium_homophily,396,2686,957,662,247,0.80227001,0.7948505,0.089512503,0.14520136,0.30805186,0.010745413,1,1.4771784,-0.94282985,0,396,raw_feature_proxy,True
Citeseer,pyg,edge_drop,0.2,0,high_homophily,2227,2686,957,662,247,0.80227001,0.7948505,0.054325588,0.15090994,0.12474431,-0.0023338328,0.99910193,1.4595202,-0.93725667,0,2227,raw_feature_proxy,True
Citeseer,pyg,edge_drop,0.2,0,all,3327,2686,957,662,247,0.80227001,0.7948505,0.06104014,0.15228616,0.15382611,-7.0950449e-05,0.99549143,1.464,-0.9365442,0,3327,raw_feature_proxy,True
Citeseer,pyg,edge_drop,0.4,0,low_homophily,656,1975,728,1373,476,0.58990442,0.60465116,0.15382902,0.21796371,0.35000599,0.0016124572,0.98018293,1.4795918,-0.92958884,0,656,raw_feature_proxy,True
Citeseer,pyg,edge_drop,0.4,0,medium_homophily,396,1975,728,1373,476,0.58990442,0.60465116,0.17474096,0.17585133,0.55102251,-0.0069065586,1,1.4771784,-0.94282985,0,396,raw_feature_proxy,True
Citeseer,pyg,edge_drop,0.4,0,high_homophily,2227,1975,728,1373,476,0.58990442,0.60465116,0.12325451,0.20897233,0.27107497,0.0017794323,0.99910193,1.4595202,-0.93725667,0,2227,raw_feature_proxy,True
Citeseer,pyg,edge_drop,0.4,0,all,3327,1975,728,1373,476,0.58990442,0.60465116,0.13363302,0.20710029,0.31604833,0.000525941,0.99549143,1.464,-0.9365442,0,3327,raw_feature_proxy,True
Citeseer,pyg,edge_drop,0.6,0,low_homophily,656,1402,507,1946,697,0.41875747,0.42109635,0.24847015,0.23709039,0.54554869,-0.008149543,0.98018293,1.4795918,-0.92958884,0,656,raw_feature_proxy,True
Citeseer,pyg,edge_drop,0.6,0,medium_homophily,396,1402,507,1946,697,0.41875747,0.42109635,0.27309257,0.18568931,0.76011395,-0.024639649,1,1.4771784,-0.94282985,0,396,raw_feature_proxy,True
Citeseer,pyg,edge_drop,0.6,0,high_homophily,2227,1402,507,1946,697,0.41875747,0.42109635,0.18331665,0.23368171,0.39568882,0.00049056127,0.99910193,1.4595202,-0.93725667,0,2227,raw_feature_proxy,True
Citeseer,pyg,edge_drop,0.6,0,all,3327,1402,507,1946,697,0.41875747,0.42109635,0.20420416,0.2314843,0.46290474,-0.0045579357,0.99549143,1.464,-0.9365442,0,3327,raw_feature_proxy,True
Citeseer,pyg,edge_drop,0.8,0,low_homophily,656,709,223,2639,981,0.21176822,0.18521595,0.37719736,0.20806866,0.78533924,-0.0056483069,0.98018293,1.4795918,-0.92958884,0,656,raw_feature_proxy,True
Citeseer,pyg,edge_drop,0.8,0,medium_homophily,396,709,223,2639,981,0.21176822,0.18521595,0.39682782,0.14735729,0.93730973,0.042544621,1,1.4771784,-0.94282985,0,396,raw_feature_proxy,True
